filepath,author,comment,replies,anchor,created
IMAGERY_TRIAGE.xlsx,,(no comment),,,
manifest.jsonl,,(no comment),,,
08-caribbean-transatlantic/caribbean-house-doorway.jpg,michael singleton,Lush,,"[null,[null,[0.23934046105859091,0.30582102519548215,0.6745534650531742,0.6602953953084274]],null,""0B4FkjOvGXGNBY0JpKzFTR3BJMjU2ZnZDYkJmRUJ5aHEzWlkwPQ""]",2026-05-05T20:05:19.897Z
08-caribbean-transatlantic/bahamas-dock.jpg,michael singleton,Lovely,,"[null,[null,[0.3473101265822785,0.4258801424050633,0.7064873417721519,0.8827630537974683]],null,""0B4FkjOvGXGNBbmQxdEl5MXlhMnY5SWRJZUpPZjh2bzBtN2hjPQ""]",2026-05-05T20:05:09.865Z
08-caribbean-transatlantic/nyc-pied-a-terre.jpg,michael singleton,Seems out of place for carribbean,,"[null,[null,[0.15917763605674168,0.29192006950477845,0.8149428493649948,0.7124239791485665]],null,""0B4FkjOvGXGNBWFBjd0gxM0Z5dGU1UzFIcXRXMXZZWllNUHYwPQ""]",2026-05-05T20:05:02.964Z
08-caribbean-transatlantic/caribbean-veranda-18h.jpg,michael singleton,That's great,,"[null,[null,[0.27111914322953495,0.2884448305821025,0.6522639515862723,0.733275412684622]],null,""0B4FkjOvGXGNBa3pVdENYQkVyallvQkluQnVlL3ZzakZydExVPQ""]",2026-05-05T20:04:53.290Z
07-provence-countryside/countryside-oak-shadow.jpg,michael singleton,Very nice,,"[null,[null,[0.3133069273606242,0.5039096437880104,0.6866930627737129,0.8983492615117289]],null,""0B4FkjOvGXGNBY0dyN29hK2FCdEdpaC8vTldqcDY5S09mN3dJPQ""]",2026-05-05T20:02:52.994Z
07-provence-countryside/provence-outdoor-bath.jpg,michael singleton,"Weird bathtup placement, not a fan",,"[null,[null,[0.29723347043742654,0.41789748045178104,0.8839707665553372,0.8418766290182449]],null,""0B4FkjOvGXGNBallvT25rY2g1STNDWXBWOWcwRWZIekRVYjJRPQ""]",2026-05-05T20:02:41.338Z
07-provence-countryside/provence-vineyard-morning.jpg,michael singleton,Also lovely but what even are these bushes?,,"[null,[null,[0.28421190382194195,0.2997393570807993,0.8108318298720905,0.9409209383145092]],null,""0B4FkjOvGXGNBTUFUd0JJc1NyamVVM0hnRzNHaDl6Q2xBNFdVPQ""]",2026-05-05T20:02:23.513Z
07-provence-countryside/countryside-road.jpg,michael singleton,Perfect,,"[null,[null,[0.32080696202531644,0.3932456487341772,0.5779272151898733,0.8035078548824592]],null,""0B4FkjOvGXGNBRHB0VlRaQUVWK01FVXYzTzV0MzdkdUdKcm5ZPQ""]",2026-05-05T20:02:11.448Z
07-provence-countryside/tuscan-window-sill.jpg,michael singleton,Tea looks a littke weird but overall nice,,"[null,[null,[0.3670721112076455,0.4874022589052997,0.8987836663770633,0.9565595134665508]],null,""0B4FkjOvGXGNBalZGWm9SRFU5eSs5QUtNNXpFYngxVmsrRVR3PQ""]",2026-05-05T20:02:03.490Z
07-provence-countryside/provence-garden-path.jpg,michael singleton,gorgeous,,"[null,[null,[0.23352210539021415,0.3640312771503041,0.9503435237342337,0.7932232841007819]],null,""0B4FkjOvGXGNBd2JsQWlvcncvR1NESWxHQnBCem4yTjAwb3JNPQ""]",2026-05-05T20:01:49.810Z
